LOCAL,LATITUDE,LONGITUDE,MUNICIPIO,UF
CONCEICAO DA FEIRA-BA,"-12,5","-38,99",CONCEICAO DA FEIRA,BA
CONCEICAO DAS ALAGOAS-MG,"-19,91","-48,38",CONCEICAO DAS ALAGOAS,MG
CONCEICAO DAS PEDRAS-MG,"-22,16","-45,45",CONCEICAO DAS PEDRAS,MG
CONCEICAO DE IPANEMA-MG,"-19,92","-41,69",CONCEICAO DE IPANEMA,MG
CONCEICAO DE MACABU-RJ,"-22,08","-41,86",CONCEICAO DE MACABU,RJ
CONCEICAO DO ALMEIDA-BA,"-12,8","-39,16",CONCEICAO DO ALMEIDA,BA
CONCEICAO DO ARAGUAIA-PA,"-8,25","-49,26",CONCEICAO DO ARAGUAIA,PA
CONCEICAO DO CANINDE-PI,"-7,87","-41,59",CONCEICAO DO CANINDE,PI
CONCEICAO DO CASTELO-ES,"-20,36","-41,24",CONCEICAO DO CASTELO,ES
CONCEICAO DO COITE-BA,"-11,56","-39,28",CONCEICAO DO COITE,BA
CONCEICAO DO JACUIPE-BA,"-12,42","-38,72",CONCEICAO DO JACUIPE,BA
CONCEICAO DO LAGO-ACU-MA,"-3,83","-44,89",CONCEICAO DO LAGO-ACU,MA
CONCEICAO DO MATO DENTRO-MG,"-19,03","-43,42",CONCEICAO DO MATO DENTRO,MG
CONCEICAO DO PARA-MG,"-19,75","-44,89",CONCEICAO DO PARA,MG
CONCEICAO DO RIO VERDE-MG,"-21,88","-45,08",CONCEICAO DO RIO VERDE,MG
CONCEICAO DO TOCANTINS-TO,"-12,21","-47,29",CONCEICAO DO TOCANTINS,TO
CONCEICAO DOS OUROS-MG,"-22,41","-45,79",CONCEICAO DOS OUROS,MG
CONCEICAO-PB,"-7,56","-38,5",CONCEICAO,PB
CONCHAL-SP,"-22,33","-47,17",CONCHAL,SP
CONCHAS-SP,"-23,01","-48,01",CONCHAS,SP
CONCORDIA DO PARA-PA,"-1,99","-47,94",CONCORDIA DO PARA,PA
CONCORDIA-SC,"-27,23","-52,02",CONCORDIA,SC
CONDADO-PB,"-6,91","-37,6",CONDADO,PB
CONDADO-PE,"-7,58","-35,1",CONDADO,PE
CONDE-BA,"-11,81","-37,61",CONDE,BA
CONDE-PB,"-7,26","-34,9",CONDE,PB
CONDEUBA-BA,"-14,89","-41,96",CONDEUBA,BA
CONDOR-RS,"-28,2","-53,48",CONDOR,RS
CONEGO MARINHO-MG,"-15,29","-44,41",CONEGO MARINHO,MG
CONFINS-MG,"-19,63","-43,98",CONFINS,MG
CONFRESA-MT,"-10,64","-51,56",CONFRESA,MT
CONGONHAL-MG,"-22,15","-46,03",CONGONHAL,MG
CONGONHAS DO NORTE-MG,"-18,8","-43,68",CONGONHAS DO NORTE,MG
CONGONHAS-MG,"-20,5","-43,85",CONGONHAS,MG
CONGONHINHAS-PR,"-23,55","-50,55",CONGONHINHAS,PR
CONGO-PB,"-7,79","-36,66",CONGO,PB
CONQUISTA-MG,"-19,93","-47,54",CONQUISTA,MG
CONSELHEIRO LAFAIETE-MG,"-20,66","-43,78",CONSELHEIRO LAFAIETE,MG
CONSELHEIRO MAIRINCK-PR,"-23,63","-50,16",CONSELHEIRO MAIRINCK,PR
CONSELHEIRO PENA-MG,"-19,17","-41,47",CONSELHEIRO PENA,MG
CONSOLACAO-MG,"-22,55","-45,92",CONSOLACAO,MG
CONSTANTINA-RS,"-27,73","-52,99",CONSTANTINA,RS
CONTAGEM-MG,"-19,93","-44,05",CONTAGEM,MG
CONTENDA-PR,"-25,67","-49,53",CONTENDA,PR
CONTENDAS DO SINCORA-BA,"-13,76","-41,04",CONTENDAS DO SINCORA,BA
COQUEIRAL-MG,"-21,18","-45,44",COQUEIRAL,MG
COQUEIRO SECO-AL,"-9,63","-35,8",COQUEIRO SECO,AL
COQUEIROS DO SUL-RS,"-28,11","-52,78",COQUEIROS DO SUL,RS
CORACAO DE JESUS-MG,"-16,68","-44,36",CORACAO DE JESUS,MG
CORACAO DE MARIA-BA,"-12,23","-38,75",CORACAO DE MARIA,BA
CORBELIA-PR,"-24,79","-53,3",CORBELIA,PR
CORDEIROPOLIS-SP,"-22,48","-47,45",CORDEIROPOLIS,SP
CORDEIRO-RJ,"-22,02","-42,36",CORDEIRO,RJ
CORDEIROS-BA,"-15,03","-41,93",CORDEIROS,BA
CORDILHEIRA ALTA-SC,"-26,98","-52,6",CORDILHEIRA ALTA,SC
CORDISBURGO-MG,"-19,12","-44,32",CORDISBURGO,MG
CORDISLANDIA-MG,"-21,79","-45,7",CORDISLANDIA,MG
COREAU-CE,"-3,53","-40,65",COREAU,CE
COREMAS-PB,"-7,01","-37,94",COREMAS,PB
CORGUINHO-MS,"-19,83","-54,82",CORGUINHO,MS
CORIBE-BA,"-13,82","-44,45",CORIBE,BA
CORINTO-MG,"-18,38","-44,45",CORINTO,MG
CORNELIO PROCOPIO-PR,"-23,18","-50,64",CORNELIO PROCOPIO,PR
COROACI-MG,"-18,62","-42,28",COROACI,MG
COROADOS-SP,"-21,35","-50,28",COROADOS,SP
COROATA-MA,"-4,13","-44,12",COROATA,MA
COROMANDEL-MG,"-18,47","-47,2",COROMANDEL,MG
CORONEL BARROS-RS,"-28,38","-54,06",CORONEL BARROS,RS
CORONEL BICACO-RS,"-27,71","-53,7",CORONEL BICACO,RS
CORONEL DOMINGOS SOARES-PR,"-26,22","-52,03",CORONEL DOMINGOS SOARES,PR
CORONEL EZEQUIEL-RN,"-6,38","-36,21",CORONEL EZEQUIEL,RN
CORONEL FABRICIANO-MG,"-19,51","-42,62",CORONEL FABRICIANO,MG
CORONEL FREITAS-SC,"-26,9","-52,7",CORONEL FREITAS,SC
CORONEL JOAO PESSOA-RN,"-6,26","-38,44",CORONEL JOAO PESSOA,RN
CORONEL JOAO SA-BA,"-10,28","-37,92",CORONEL JOAO SA,BA
CORONEL JOSE DIAS-PI,"-8,81","-42,51",CORONEL JOSE DIAS,PI
CORONEL MACEDO-SP,"-23,63","-49,31",CORONEL MACEDO,SP
CORONEL MARTINS-SC,"-26,51","-52,66",CORONEL MARTINS,SC
CORONEL MURTA-MG,"-16,61","-42,18",CORONEL MURTA,MG
CORONEL PACHECO-MG,"-21,58","-43,26",CORONEL PACHECO,MG
CORONEL SAPUCAIA-MS,"-23,27","-55,52",CORONEL SAPUCAIA,MS
CORONEL VIVIDA-PR,"-25,98","-52,56",CORONEL VIVIDA,PR
CORONEL XAVIER CHAVES-MG,"-21,02","-44,22",CORONEL XAVIER CHAVES,MG
CORREGO DANTA-MG,"-19,82","-45,9",CORREGO DANTA,MG
CORREGO DO BOM JESUS-MG,"-22,63","-46,02",CORREGO DO BOM JESUS,MG
CORREGO DO OURO-GO,"-16,29","-50,54",CORREGO DO OURO,GO
CORREGO FUNDO-MG,"-20,44","-45,55",CORREGO FUNDO,MG
CORREGO NOVO-MG,"-19,83","-42,39",CORREGO NOVO,MG
CORREIA PINTO-SC,"-27,58","-50,36",CORREIA PINTO,SC
CORRENTE-PI,"-10,44","-45,16",CORRENTE,PI
CORRENTES-PE,"-9,12","-36,33",CORRENTES,PE
CORRENTINA-BA,"-13,34","-44,63",CORRENTINA,BA
CORTES-PE,"-8,47","-35,54",CORTES,PE
CORUMBA DE GOIAS-GO,"-15,92","-48,8",CORUMBA DE GOIAS,GO
CORUMBAIBA-GO,"-18,14","-48,56",CORUMBAIBA,GO
CORUMBA-MS,-19,"-57,65",CORUMBA,MS
CORUMBATAI DO SUL-PR,"-24,1","-52,12",CORUMBATAI DO SUL,PR
CORUMBATAI-SP,"-22,22","-47,62",CORUMBATAI,SP
CORUMBIARA-RO,"-12,96","-60,88",CORUMBIARA,RO
CORUPA-SC,"-26,42","-49,24",CORUPA,SC
CORURIPE-AL,"-10,12","-36,17",CORURIPE,AL
COSMOPOLIS-SP,"-22,64","-47,19",COSMOPOLIS,SP
COSMORAMA-SP,"-20,47","-49,77",COSMORAMA,SP
COSTA MARQUES-RO,"-12,44","-64,22",COSTA MARQUES,RO
COSTA RICA-MS,"-18,54","-53,12",COSTA RICA,MS
COTEGIPE-BA,"-12,02","-44,25",COTEGIPE,BA
COTIA-SP,"-23,6","-46,91",COTIA,SP
COTIPORA-RS,"-28,99","-51,69",COTIPORA,RS
COTRIGUACU-MT,"-9,85","-58,41",COTRIGUACU,MT
COUTO DE MAGALHAES DE MINAS-MG,"-18,07","-43,47",COUTO DE MAGALHAES DE MINAS,MG
COUTO DE MAGALHAES-TO,"-8,28","-49,24",COUTO DE MAGALHAES,TO
COXILHA-RS,"-28,12","-52,29",COXILHA,RS
COXIM-MS,"-18,5","-54,76",COXIM,MS
COXIXOLA-PB,"-7,62","-36,6",COXIXOLA,PB
CRAIBAS-AL,"-9,61","-36,76",CRAIBAS,AL
CRATEUS-CE,"-5,17","-40,67",CRATEUS,CE
CRATO-CE,"-7,23","-39,4",CRATO,CE
CRAVINHOS-SP,"-21,34","-47,72",CRAVINHOS,SP
CRAVOLANDIA-BA,"-13,35","-39,81",CRAVOLANDIA,BA
CRICIUMA-SC,"-28,67","-49,37",CRICIUMA,SC
CRISOLITA-MG,"-17,23","-40,91",CRISOLITA,MG
CRISOPOLIS-BA,"-11,51","-38,15",CRISOPOLIS,BA
CRISSIUMAL-RS,"-27,5","-54,1",CRISSIUMAL,RS
CRISTAIS PAULISTA-SP,"-20,39","-47,42",CRISTAIS PAULISTA,SP
CRISTAIS-MG,"-20,87","-45,51",CRISTAIS,MG
CRISTAL DO SUL-RS,"-27,45","-53,24",CRISTAL DO SUL,RS
CRISTALANDIA DO PIAUI-PI,"-10,65","-45,18",CRISTALANDIA DO PIAUI,PI
CRISTALANDIA-TO,"-10,6","-49,19",CRISTALANDIA,TO
CRISTALIA-MG,"-16,8","-42,86",CRISTALIA,MG
CRISTALINA-GO,"-16,76","-47,61",CRISTALINA,GO
CRISTAL-RS,-31,"-52,05",CRISTAL,RS
CRISTIANO OTONI-MG,"-20,83","-43,8",CRISTIANO OTONI,MG
CRISTIANOPOLIS-GO,"-17,19","-48,7",CRISTIANOPOLIS,GO
CRISTINA-MG,"-22,21","-45,26",CRISTINA,MG
CRISTINAPOLIS-SE,"-11,47","-37,75",CRISTINAPOLIS,SE
CRISTINO CASTRO-PI,"-8,81","-44,22",CRISTINO CASTRO,PI
CRISTOPOLIS-BA,"-12,23","-44,42",CRISTOPOLIS,BA
CRIXAS DO TOCANTINS-TO,"-11,1","-48,91",CRIXAS DO TOCANTINS,TO
CRIXAS-GO,"-14,54","-49,96",CRIXAS,GO
CROATA-CE,"-4,4","-40,91",CROATA,CE
CROMINIA-GO,"-17,28","-49,38",CROMINIA,GO
CRUCILANDIA-MG,"-20,38","-44,33",CRUCILANDIA,MG
CRUZ ALTA-RS,"-28,63","-53,6",CRUZ ALTA,RS
CRUZ DAS ALMAS-BA,"-12,67","-39,1",CRUZ DAS ALMAS,BA
CRUZ DO ESPIRITO SANTO-PB,"-7,14","-35,08",CRUZ DO ESPIRITO SANTO,PB
CRUZ MACHADO-PR,"-26,01","-51,34",CRUZ MACHADO,PR
CRUZALIA-SP,"-22,73","-50,79",CRUZALIA,SP
CRUZ-CE,"-2,91","-40,17",CRUZ,CE
CRUZEIRO DA FORTALEZA-MG,"-18,94","-46,67",CRUZEIRO DA FORTALEZA,MG
CRUZEIRO DO IGUACU-PR,"-25,61","-53,12",CRUZEIRO DO IGUACU,PR
CRUZEIRO DO OESTE-PR,"-23,78","-53,07",CRUZEIRO DO OESTE,PR
CRUZEIRO DO SUL-AC,"-7,63","-72,67",CRUZEIRO DO SUL,AC
CRUZEIRO DO SUL-PR,"-22,96","-52,16",CRUZEIRO DO SUL,PR
CRUZEIRO DO SUL-RS,"-29,51","-51,98",CRUZEIRO DO SUL,RS
CRUZEIRO-SP,"-22,57","-44,96",CRUZEIRO,SP
CRUZETA-RN,"-6,41","-36,79",CRUZETA,RN
CRUZILIA-MG,"-21,83","-44,8",CRUZILIA,MG
CRUZMALTINA-PR,"-24,01","-51,45",CRUZMALTINA,PR
CUBATAO-SP,"-23,89","-46,42",CUBATAO,SP
CUBATI-PB,"-6,86","-36,37",CUBATI,PB
CUIABA-MT,"-15,59","-56,09",CUIABA,MT
CUITE DE MAMANGUAPE-PB,"-6,91","-35,25",CUITE DE MAMANGUAPE,PB
CUITEGI-PB,"-6,89","-35,52",CUITEGI,PB
CUITE-PB,"-6,48","-36,15",CUITE,PB
CUJUBIM-RO,"-9,36","-62,58",CUJUBIM,RO
CUMARI-GO,"-18,26","-48,15",CUMARI,GO
CUMARU DO NORTE-PA,"-7,82","-50,77",CUMARU DO NORTE,PA
CUMARU-PE,-8,"-35,69",CUMARU,PE
CUMBE-SE,"-10,35","-37,18",CUMBE,SE
CUNHA PORA-SC,"-26,89","-53,16",CUNHA PORA,SC
CUNHA-SP,"-23,07","-44,96",CUNHA,SP
CUNHATAI-SC,"-26,96","-53,09",CUNHATAI,SC
CUPARAQUE-MG,"-18,96","-41,09",CUPARAQUE,MG
CUPIRA-PE,"-8,61","-35,95",CUPIRA,PE
CURACA-BA,"-8,99","-39,9",CURACA,BA
CURIMATA-PI,"-10,03","-44,3",CURIMATA,PI
CURIONOPOLIS-PA,"-6,09","-49,54",CURIONOPOLIS,PA
CURITIBANOS-SC,"-27,28","-50,58",CURITIBANOS,SC
CURITIBA-PR,"-25,42","-49,27",CURITIBA,PR
CURIUVA-PR,"-24,03","-50,45",CURIUVA,PR
CURRAIS NOVOS-RN,"-6,26","-36,51",CURRAIS NOVOS,RN
CURRAIS-PI,-9,"-44,41",CURRAIS,PI
CURRAL DE CIMA-PB,"-6,71","-35,26",CURRAL DE CIMA,PB
CURRAL DE DENTRO-MG,"-15,93","-41,84",CURRAL DE DENTRO,MG
CURRAL NOVO DO PIAUI-PI,"-7,83","-40,9",CURRAL NOVO DO PIAUI,PI
CURRAL VELHO-PB,"-7,58","-38,19",CURRAL VELHO,PB
CURRALINHO-PA,"-1,81","-49,79",CURRALINHO,PA
CURRALINHOS-PI,"-5,58","-42,77",CURRALINHOS,PI
CURUA-PA,"-1,88","-55,11",CURUA,PA
CURUCA-PA,"-0,73","-47,85",CURUCA,PA
CURURUPU-MA,"-1,82","-44,86",CURURUPU,MA
CURVELO-MG,"-18,75","-44,43",CURVELO,MG
CUSTODIA-PE,"-8,08","-37,64",CUSTODIA,PE
CUTIAS-AP,"0,98","-50,8",CUTIAS,AP
DAMIANOPOLIS-GO,"-14,56","-46,17",DAMIANOPOLIS,GO
DAMIAO-PB,"-6,55","-35,89",DAMIAO,PB
DAMOLANDIA-GO,"-16,25","-49,37",DAMOLANDIA,GO
DARCINOPOLIS-TO,"-6,71","-47,76",DARCINOPOLIS,TO
DARIO MEIRA-BA,"-14,43","-39,9",DARIO MEIRA,BA
DATAS-MG,"-18,44","-43,65",DATAS,MG
DAVID CANABARRO-RS,"-28,38","-51,84",DAVID CANABARRO,RS
DAVINOPOLIS-GO,"-18,15","-47,56",DAVINOPOLIS,GO
DAVINOPOLIS-MA,"-5,55","-47,42",DAVINOPOLIS,MA
DELFIM MOREIRA-MG,"-22,5","-45,28",DELFIM MOREIRA,MG
DELFINOPOLIS-MG,"-20,34","-46,85",DELFINOPOLIS,MG
DELMIRO GOUVEIA-AL,"-9,38","-37,99",DELMIRO GOUVEIA,AL
DELTA-MG,"-19,97","-47,77",DELTA,MG
DEMERVAL LOBAO-PI,"-5,35","-42,67",DEMERVAL LOBAO,PI
DENISE-MT,"-14,74","-57,05",DENISE,MT
DEODAPOLIS-MS,"-22,27","-54,16",DEODAPOLIS,MS
DEPUTADO IRAPUAN PINHEIRO-CE,"-5,91","-39,26",DEPUTADO IRAPUAN PINHEIRO,CE
DERRUBADAS-RS,"-27,26","-53,86",DERRUBADAS,RS
DESCALVADO-SP,"-21,9","-47,61",DESCALVADO,SP
DESCANSO-SC,"-26,82","-53,5",DESCANSO,SC
DESCOBERTO-MG,"-21,46","-42,96",DESCOBERTO,MG
DESTERRO DE ENTRE RIOS-MG,"-20,66","-44,33",DESTERRO DE ENTRE RIOS,MG
DESTERRO DO MELO-MG,"-21,14","-43,51",DESTERRO DO MELO,MG
DESTERRO-PB,"-7,29","-37,09",DESTERRO,PB
DEZESSEIS DE NOVEMBRO-RS,"-28,21","-55,06",DEZESSEIS DE NOVEMBRO,RS
DIADEMA-SP,"-23,68","-46,62",DIADEMA,SP
DIAMANTE DO NORTE-PR,"-22,65","-52,86",DIAMANTE DO NORTE,PR
DIAMANTE DO SUL-PR,"-25,04","-52,68",DIAMANTE DO SUL,PR
DIAMANTE D'OESTE-PR,"-24,94","-54,1",DIAMANTE D'OESTE,PR
DIAMANTE-PB,"-7,42","-38,26",DIAMANTE,PB
DIAMANTINA-MG,"-18,24","-43,6",DIAMANTINA,MG
DIAMANTINO-MT,"-14,4","-56,44",DIAMANTINO,MT
DIANOPOLIS-TO,"-11,62","-46,82",DIANOPOLIS,TO
DIAS D'AVILA-BA,"-12,61","-38,29",DIAS D'AVILA,BA
DILERMANDO DE AGUIAR-RS,"-29,7","-54,2",DILERMANDO DE AGUIAR,RS
DIOGO DE VASCONCELOS-MG,"-20,48","-43,19",DIOGO DE VASCONCELOS,MG
DIONISIO CERQUEIRA-SC,"-26,25","-53,64",DIONISIO CERQUEIRA,SC
DIONISIO-MG,"-19,84","-42,77",DIONISIO,MG
DIORAMA-GO,"-16,23","-51,25",DIORAMA,GO
DIRCE REIS-SP,"-20,46","-50,6",DIRCE REIS,SP
DIRCEU ARCOVERDE-PI,"-9,33","-42,42",DIRCEU ARCOVERDE,PI
DIVINA PASTORA-SE,"-10,68","-37,14",DIVINA PASTORA,SE
DIVINESIA-MG,"-20,99",-43,DIVINESIA,MG
DIVINO DAS LARANJEIRAS-MG,"-18,77","-41,48",DIVINO DAS LARANJEIRAS,MG
DIVINO DE SAO LOURENCO-ES,"-20,62","-41,68",DIVINO DE SAO LOURENCO,ES
DIVINOLANDIA DE MINAS-MG,"-18,8","-42,59",DIVINOLANDIA DE MINAS,MG
DIVINOLANDIA-SP,"-21,66","-46,73",DIVINOLANDIA,SP
DIVINO-MG,"-20,61","-42,14",DIVINO,MG
DIVINOPOLIS DE GOIAS-GO,"-13,29","-46,39",DIVINOPOLIS DE GOIAS,GO
DIVINOPOLIS DO TOCANTINS-TO,"-9,8","-49,21",DIVINOPOLIS DO TOCANTINS,TO
DIVINOPOLIS-MG,"-20,13","-44,88",DIVINOPOLIS,MG
DIVISA ALEGRE-MG,"-15,72","-41,34",DIVISA ALEGRE,MG
DIVISA NOVA-MG,"-21,51","-46,19",DIVISA NOVA,MG
DIVISOPOLIS-MG,"-15,72",-41,DIVISOPOLIS,MG
DOBRADA-SP,"-21,51","-48,39",DOBRADA,SP
DOIS CORREGOS-SP,"-22,36","-48,38",DOIS CORREGOS,SP
DOIS IRMAOS DAS MISSOES-RS,"-27,65","-53,53",DOIS IRMAOS DAS MISSOES,RS
DOIS IRMAOS DO BURITI-MS,"-20,68","-55,29",DOIS IRMAOS DO BURITI,MS
DOIS IRMAOS DO TOCANTINS-TO,"-9,25","-49,06",DOIS IRMAOS DO TOCANTINS,TO
DOIS IRMAOS-RS,"-29,58","-51,08",DOIS IRMAOS,RS
DOIS LAJEADOS-RS,"-28,98","-51,83",DOIS LAJEADOS,RS
DOIS RIACHOS-AL,"-9,39","-37,1",DOIS RIACHOS,AL
DOIS VIZINHOS-PR,"-25,73","-53,05",DOIS VIZINHOS,PR
DOLCINOPOLIS-SP,"-20,12","-50,51",DOLCINOPOLIS,SP
DOM AQUINO-MT,"-15,81","-54,91",DOM AQUINO,MT
DOM BASILIO-BA,"-13,76","-41,77",DOM BASILIO,BA
DOM BOSCO-MG,"-16,65","-46,27",DOM BOSCO,MG
DOM CAVATI-MG,"-19,37","-42,1",DOM CAVATI,MG
DOM ELISEU-PA,"-4,28","-47,5",DOM ELISEU,PA
DOM EXPEDITO LOPES-PI,"-6,95","-41,64",DOM EXPEDITO LOPES,PI
DOM FELICIANO-RS,"-30,7","-52,1",DOM FELICIANO,RS
DOM INOCENCIO-PI,-9,"-41,97",DOM INOCENCIO,PI
DOM JOAQUIM-MG,"-18,96","-43,25",DOM JOAQUIM,MG
DOM MACEDO COSTA-BA,"-12,9","-39,19",DOM MACEDO COSTA,BA
DOM PEDRITO-RS,"-30,98","-54,67",DOM PEDRITO,RS
DOM PEDRO DE ALCANTARA-RS,"-29,36","-49,85",DOM PEDRO DE ALCANTARA,RS
DOM PEDRO-MA,"-5,03","-44,43",DOM PEDRO,MA
DOM SILVERIO-MG,"-20,16","-42,96",DOM SILVERIO,MG
DOM VICOSO-MG,"-22,25","-45,16",DOM VICOSO,MG
DOMINGOS MARTINS-ES,"-20,36","-40,65",DOMINGOS MARTINS,ES
DOMINGOS MOURAO-PI,"-4,25","-41,27",DOMINGOS MOURAO,PI
DONA EMMA-SC,"-26,98","-49,72",DONA EMMA,SC
DONA EUZEBIA-MG,"-21,31","-42,81",DONA EUZEBIA,MG
DONA FRANCISCA-RS,"-29,62","-53,35",DONA FRANCISCA,RS
DONA INES-PB,"-6,61","-35,63",DONA INES,PB
DORES DE CAMPOS-MG,"-21,1","-44,02",DORES DE CAMPOS,MG
DORES DE GUANHAES-MG,"-19,05","-42,92",DORES DE GUANHAES,MG
DORES DO INDAIA-MG,"-19,46","-45,6",DORES DO INDAIA,MG
DORES DO RIO PRETO-ES,"-20,68","-41,84",DORES DO RIO PRETO,ES
DORES DO TURVO-MG,"-20,97","-43,18",DORES DO TURVO,MG
DORESOPOLIS-MG,"-20,28","-45,9",DORESOPOLIS,MG
DORMENTES-PE,"-8,44","-40,77",DORMENTES,PE
DOURADINA-MS,"-22,04","-54,61",DOURADINA,MS
DOURADINA-PR,"-23,38","-53,29",DOURADINA,PR
DOURADOQUARA-MG,"-18,43","-47,6",DOURADOQUARA,MG
DOURADOS-MS,"-22,22","-54,8",DOURADOS,MS
DOURADO-SP,"-22,1","-48,31",DOURADO,SP
DOUTOR CAMARGO-PR,"-23,55","-52,21",DOUTOR CAMARGO,PR
DOUTOR MAURICIO CARDOSO-RS,"-27,5","-54,36",DOUTOR MAURICIO CARDOSO,RS
DOUTOR PEDRINHO-SC,"-26,71","-49,48",DOUTOR PEDRINHO,SC
DOUTOR RICARDO-RS,"-29,08","-51,99",DOUTOR RICARDO,RS
DOUTOR SEVERIANO-RN,"-6,09","-38,37",DOUTOR SEVERIANO,RN
DOUTOR ULYSSES-PR,"-24,56","-49,42",DOUTOR ULYSSES,PR
DOVERLANDIA-GO,"-16,72","-52,31",DOVERLANDIA,GO
DRACENA-SP,"-21,48","-51,53",DRACENA,SP
DUARTINA-SP,"-22,41","-49,4",DUARTINA,SP
DUAS BARRAS-RJ,"-22,05","-42,52",DUAS BARRAS,RJ
DUAS ESTRADAS-PB,"-6,68","-35,41",DUAS ESTRADAS,PB
DUERE-TO,"-11,34","-49,27",DUERE,TO
DUMONT-SP,"-21,23","-47,97",DUMONT,SP
DUQUE BACELAR-MA,"-4,15","-42,94",DUQUE BACELAR,MA
DUQUE DE CAXIAS-RJ,"-22,78","-43,31",DUQUE DE CAXIAS,RJ
DURANDE-MG,"-20,2","-41,79",DURANDE,MG
ECHAPORA-SP,"-22,42","-50,2",ECHAPORA,SP
ECOPORANGA-ES,"-18,37","-40,83",ECOPORANGA,ES
EDEALINA-GO,"-17,42","-49,66",EDEALINA,GO
EDEIA-GO,"-17,33","-49,93",EDEIA,GO
EIRUNEPE-AM,"-6,66","-69,87",EIRUNEPE,AM
ELDORADO DO SUL-RS,"-30,08","-51,61",ELDORADO DO SUL,RS
ELDORADO DOS CARAJAS-PA,"-6,1","-49,35",ELDORADO DOS CARAJAS,PA
ELDORADO-MS,"-23,78","-54,28",ELDORADO,MS
ELDORADO-SP,"-24,52","-48,1",ELDORADO,SP
ELESBAO VELOSO-PI,"-6,2","-42,14",ELESBAO VELOSO,PI
ELIAS FAUSTO-SP,"-23,04","-47,37",ELIAS FAUSTO,SP
ELISEU MARTINS-PI,"-8,09","-43,66",ELISEU MARTINS,PI
ELISIARIO-SP,"-21,16","-49,11",ELISIARIO,SP
ELISIO MEDRADO-BA,"-12,94","-39,52",ELISIO MEDRADO,BA
ELOI MENDES-MG,"-21,61","-45,56",ELOI MENDES,MG
EMAS-PB,"-7,1","-37,71",EMAS,PB
EMBAUBA-SP,"-20,98","-48,83",EMBAUBA,SP
EMBU-GUACU-SP,"-23,83","-46,81",EMBU-GUACU,SP
EMBU-SP,"-23,64","-46,85",EMBU,SP
EMILIANOPOLIS-SP,"-21,83","-51,48",EMILIANOPOLIS,SP
ENCANTADO-RS,"-29,23","-51,87",ENCANTADO,RS
ENCANTO-RN,"-6,11","-38,3",ENCANTO,RN
ENCRUZILHADA DO SUL-RS,"-30,54","-52,52",ENCRUZILHADA DO SUL,RS
ENCRUZILHADA-BA,"-15,53","-40,9",ENCRUZILHADA,BA
ENEAS MARQUES-PR,"-25,94","-53,16",ENEAS MARQUES,PR
ENGENHEIRO BELTRAO-PR,"-23,79","-52,26",ENGENHEIRO BELTRAO,PR
ENGENHEIRO CALDAS-MG,"-19,21","-42,04",ENGENHEIRO CALDAS,MG
ENGENHEIRO COELHO-SP,"-22,48","-47,21",ENGENHEIRO COELHO,SP
ENGENHEIRO NAVARRO-MG,"-17,28","-43,95",ENGENHEIRO NAVARRO,MG
ENGENHEIRO PAULO DE FRONTIN-RJ,"-22,55","-43,67",ENGENHEIRO PAULO DE FRONTIN,RJ
ENGENHO VELHO-RS,"-27,7","-52,91",ENGENHO VELHO,RS
ENTRE FOLHAS-MG,"-19,62","-42,23",ENTRE FOLHAS,MG
ENTRE RIOS DE MINAS-MG,"-20,67","-44,06",ENTRE RIOS DE MINAS,MG
ENTRE RIOS DO OESTE-PR,"-24,7","-54,23",ENTRE RIOS DO OESTE,PR
ENTRE RIOS DO SUL-RS,"-27,52","-52,73",ENTRE RIOS DO SUL,RS
ENTRE RIOS-BA,"-11,94","-38,08",ENTRE RIOS,BA
ENTRE RIOS-SC,"-26,72","-52,56",ENTRE RIOS,SC
ENTRE-IJUIS-RS,"-28,36","-54,26",ENTRE-IJUIS,RS
ENVIRA-AM,"-7,43","-70,02",ENVIRA,AM
EPITACIOLANDIA-AC,"-11,02","-68,74",EPITACIOLANDIA,AC
EQUADOR-RN,"-6,94","-36,71",EQUADOR,RN
EREBANGO-RS,"-27,85","-52,3",EREBANGO,RS
ERECHIM-RS,"-27,63","-52,27",ERECHIM,RS
ERERE-CE,"-6,03","-38,34",ERERE,CE
ERICO CARDOSO-BA,"-13,41","-42,14",ERICO CARDOSO,BA
ERMO-SC,"-28,98","-49,64",ERMO,SC
ERNESTINA-RS,"-28,49","-52,57",ERNESTINA,RS
ERVAL GRANDE-RS,"-27,39","-52,57",ERVAL GRANDE,RS
ERVAL SECO-RS,"-27,54","-53,5",ERVAL SECO,RS
ERVAL VELHO-SC,"-27,27","-51,44",ERVAL VELHO,SC
ERVALIA-MG,"-20,84","-42,65",ERVALIA,MG
ESCADA-PE,"-8,35","-35,22",ESCADA,PE
ESMERALDA-RS,"-28,05","-51,19",ESMERALDA,RS
ESMERALDAS-MG,"-19,76","-44,31",ESMERALDAS,MG
ESPERA FELIZ-MG,"-20,65","-41,9",ESPERA FELIZ,MG
ESPERANCA DO SUL-RS,"-27,35","-53,99",ESPERANCA DO SUL,RS
ESPERANCA NOVA-PR,"-23,72","-53,81",ESPERANCA NOVA,PR
ESPERANCA-PB,"-7,02","-35,86",ESPERANCA,PB
ESPERANTINA-PI,"-3,9","-42,23",ESPERANTINA,PI
ESPERANTINA-TO,"-5,34","-48,51",ESPERANTINA,TO
ESPERANTINOPOLIS-MA,"-4,88","-44,68",ESPERANTINOPOLIS,MA
