LOCAL,LATITUDE,LONGITUDE,MUNICIPIO,UF
NOVA AMERICA-GO,"-15,02","-49,89",NOVA AMERICA,GO
NOVA ANDRADINA-MS,"-22,23","-53,34",NOVA ANDRADINA,MS
NOVA ARACA-RS,"-28,65","-51,74",NOVA ARACA,RS
NOVA AURORA-GO,"-18,05","-48,25",NOVA AURORA,GO
NOVA AURORA-PR,"-24,52","-53,25",NOVA AURORA,PR
NOVA BANDEIRANTES-MT,"-9,81","-57,86",NOVA BANDEIRANTES,MT
NOVA BASSANO-RS,"-28,72","-51,7",NOVA BASSANO,RS
NOVA BELEM-MG,"-18,47","-41,01",NOVA BELEM,MG
NOVA BOA VISTA-RS,"-27,99","-52,97",NOVA BOA VISTA,RS
NOVA BRASILANDIA D'OESTE-RO,"-11,71","-62,26",NOVA BRASILANDIA D'OESTE,RO
NOVA BRASILANDIA-MT,"-14,95","-54,96",NOVA BRASILANDIA,MT
NOVA BRESCIA-RS,"-29,21","-52,02",NOVA BRESCIA,RS
NOVA CAMPINA-SP,"-24,12","-48,9",NOVA CAMPINA,SP
NOVA CANAA DO NORTE-MT,"-10,55","-55,95",NOVA CANAA DO NORTE,MT
NOVA CANAA PAULISTA-SP,"-20,38","-50,94",NOVA CANAA PAULISTA,SP
NOVA CANAA-BA,"-14,79","-40,14",NOVA CANAA,BA
NOVA CANDELARIA-RS,"-27,6","-54,1",NOVA CANDELARIA,RS
NOVA CANTU-PR,"-24,67","-52,56",NOVA CANTU,PR
NOVA CASTILHO-SP,"-20,76","-50,34",NOVA CASTILHO,SP
NOVA COLINAS-MA,"-7,11","-46,25",NOVA COLINAS,MA
NOVA CRIXAS-GO,"-14,09","-50,32",NOVA CRIXAS,GO
NOVA CRUZ-RN,"-6,47","-35,43",NOVA CRUZ,RN
NOVA ERA-MG,"-19,75","-43,03",NOVA ERA,MG
NOVA ERECHIM-SC,"-26,9","-52,9",NOVA ERECHIM,SC
NOVA ESPERANCA DO PIRIA-PA,"-2,26","-46,96",NOVA ESPERANCA DO PIRIA,PA
NOVA ESPERANCA DO SUDOESTE-PR,"-25,9","-53,26",NOVA ESPERANCA DO SUDOESTE,PR
NOVA ESPERANCA DO SUL-RS,"-29,41","-54,82",NOVA ESPERANCA DO SUL,RS
NOVA ESPERANCA-PR,"-23,18","-52,2",NOVA ESPERANCA,PR
NOVA EUROPA-SP,"-21,77","-48,56",NOVA EUROPA,SP
NOVA FATIMA-BA,"-11,6","-39,63",NOVA FATIMA,BA
NOVA FATIMA-PR,"-23,43","-50,56",NOVA FATIMA,PR
NOVA FLORESTA-PB,"-6,45","-36,2",NOVA FLORESTA,PB
NOVA FRIBURGO-RJ,"-22,28","-42,53",NOVA FRIBURGO,RJ
NOVA GLORIA-GO,"-15,14","-49,57",NOVA GLORIA,GO
NOVA GRANADA-SP,"-20,53","-49,31",NOVA GRANADA,SP
NOVA GUARITA-MT,"-10,31","-55,41",NOVA GUARITA,MT
NOVA GUATAPORANGA-SP,"-21,33","-51,64",NOVA GUATAPORANGA,SP
NOVA HARTZ-RS,"-29,58","-50,9",NOVA HARTZ,RS
NOVA IBIA-BA,"-13,81","-39,62",NOVA IBIA,BA
NOVA IGUACU DE GOIAS-GO,"-14,28","-49,38",NOVA IGUACU DE GOIAS,GO
NOVA IGUACU-RJ,"-22,75","-43,45",NOVA IGUACU,RJ
NOVA INDEPENDENCIA-SP,"-21,1","-51,49",NOVA INDEPENDENCIA,SP
NOVA IORQUE-MA,"-6,73","-44,04",NOVA IORQUE,MA
NOVA IPIXUNA-PA,"-4,92","-49,07",NOVA IPIXUNA,PA
NOVA ITABERABA-SC,"-26,94","-52,81",NOVA ITABERABA,SC
NOVA ITARANA-BA,"-13,02","-40,06",NOVA ITARANA,BA
NOVA LACERDA-MT,"-14,47","-59,6",NOVA LACERDA,MT
NOVA LARANJEIRAS-PR,"-25,3","-52,54",NOVA LARANJEIRAS,PR
NOVA LIMA-MG,"-19,98","-43,84",NOVA LIMA,MG
NOVA LONDRINA-PR,"-22,76","-52,98",NOVA LONDRINA,PR
NOVA LUZITANIA-SP,"-20,85","-50,26",NOVA LUZITANIA,SP
NOVA MAMORE-RO,"-10,41","-65,33",NOVA MAMORE,RO
NOVA MARILANDIA-MT,"-14,36","-56,96",NOVA MARILANDIA,MT
NOVA MARINGA-MT,"-13,02","-57,07",NOVA MARINGA,MT
NOVA MODICA-MG,"-18,43","-41,5",NOVA MODICA,MG
NOVA MONTE VERDE-MT,"-9,98","-57,53",NOVA MONTE VERDE,MT
NOVA MUTUM-MT,"-13,83","-56,08",NOVA MUTUM,MT
NOVA ODESSA-SP,"-22,77","-47,29",NOVA ODESSA,SP
NOVA OLIMPIA-MT,"-14,79","-57,28",NOVA OLIMPIA,MT
NOVA OLIMPIA-PR,"-23,47","-53,08",NOVA OLIMPIA,PR
NOVA OLINDA DO MARANHAO-MA,"-2,84","-45,69",NOVA OLINDA DO MARANHAO,MA
NOVA OLINDA DO NORTE-AM,"-3,88","-59,09",NOVA OLINDA DO NORTE,AM
NOVA OLINDA-CE,"-7,09","-39,68",NOVA OLINDA,CE
NOVA OLINDA-PB,"-7,48","-38,04",NOVA OLINDA,PB
NOVA OLINDA-TO,"-7,63","-48,42",NOVA OLINDA,TO
NOVA PADUA-RS,"-29,02","-51,3",NOVA PADUA,RS
NOVA PALMA-RS,"-29,47","-53,46",NOVA PALMA,RS
NOVA PALMEIRA-PB,"-6,67","-36,42",NOVA PALMEIRA,PB
NOVA PETROPOLIS-RS,"-29,37","-51,11",NOVA PETROPOLIS,RS
NOVA PONTE-MG,"-19,13","-47,68",NOVA PONTE,MG
NOVA PORTEIRINHA-MG,"-15,8","-43,3",NOVA PORTEIRINHA,MG
NOVA PRATA DO IGUACU-PR,"-25,63","-53,34",NOVA PRATA DO IGUACU,PR
NOVA PRATA-RS,"-28,78","-51,61",NOVA PRATA,RS
NOVA RAMADA-RS,"-28,06","-53,69",NOVA RAMADA,RS
NOVA REDENCAO-BA,"-12,81","-41,07",NOVA REDENCAO,BA
NOVA RESENDE-MG,"-21,12","-46,42",NOVA RESENDE,MG
NOVA ROMA DO SUL-RS,"-28,99","-51,4",NOVA ROMA DO SUL,RS
NOVA ROMA-GO,"-13,74","-46,88",NOVA ROMA,GO
NOVA ROSALANDIA-TO,"-10,56","-48,91",NOVA ROSALANDIA,TO
NOVA RUSSAS-CE,"-4,7","-40,56",NOVA RUSSAS,CE
NOVA SANTA BARBARA-PR,"-23,59","-50,72",NOVA SANTA BARBARA,PR
NOVA SANTA RITA-RS,"-29,85","-51,27",NOVA SANTA RITA,RS
NOVA SANTA ROSA-PR,"-24,46","-53,95",NOVA SANTA ROSA,PR
NOVA SERRANA-MG,"-19,87","-44,98",NOVA SERRANA,MG
NOVA SOURE-BA,"-11,23","-38,48",NOVA SOURE,BA
NOVA TEBAS-PR,"-24,43","-51,94",NOVA TEBAS,PR
NOVA TIMBOTEUA-PA,"-1,2","-47,38",NOVA TIMBOTEUA,PA
NOVA TRENTO-SC,"-27,28","-48,93",NOVA TRENTO,SC
NOVA UBIRATA-MT,"-12,99","-55,25",NOVA UBIRATA,MT
NOVA UNIAO-MG,"-19,69","-43,58",NOVA UNIAO,MG
NOVA UNIAO-RO,"-10,9","-62,56",NOVA UNIAO,RO
NOVA VENECIA-ES,"-18,71","-40,4",NOVA VENECIA,ES
NOVA VENEZA-GO,"-16,37","-49,32",NOVA VENEZA,GO
NOVA VENEZA-SC,"-28,63","-49,49",NOVA VENEZA,SC
NOVA VICOSA-BA,"-17,89","-39,37",NOVA VICOSA,BA
NOVA XAVANTINA-MT,"-14,67","-52,35",NOVA XAVANTINA,MT
NOVAIS-SP,"-20,99","-48,91",NOVAIS,SP
NOVO ACORDO-TO,"-9,96","-47,67",NOVO ACORDO,TO
NOVO AIRAO-AM,"-2,62","-60,94",NOVO AIRAO,AM
NOVO ALEGRE-TO,"-12,93","-46,57",NOVO ALEGRE,TO
NOVO ARIPUANA-AM,"-5,12","-60,38",NOVO ARIPUANA,AM
NOVO BARREIRO-RS,"-27,9","-53,1",NOVO BARREIRO,RS
NOVO BRASIL-GO,"-16,03","-50,71",NOVO BRASIL,GO
NOVO CABRAIS-RS,"-29,73","-52,94",NOVO CABRAIS,RS
NOVO CRUZEIRO-MG,"-17,46","-41,87",NOVO CRUZEIRO,MG
NOVO GAMA-GO,"-16,05","-48,03",NOVO GAMA,GO
NOVO HAMBURGO-RS,"-29,67","-51,13",NOVO HAMBURGO,RS
NOVO HORIZONTE DO NORTE-MT,"-11,41","-57,35",NOVO HORIZONTE DO NORTE,MT
NOVO HORIZONTE DO OESTE-RO,"-11,69","-61,99",NOVO HORIZONTE DO OESTE,RO
NOVO HORIZONTE DO SUL-MS,"-22,66","-53,86",NOVO HORIZONTE DO SUL,MS
NOVO HORIZONTE-BA,"-12,8","-42,16",NOVO HORIZONTE,BA
NOVO HORIZONTE-SC,"-26,44","-52,83",NOVO HORIZONTE,SC
NOVO HORIZONTE-SP,"-21,46","-49,22",NOVO HORIZONTE,SP
NOVO ITACOLOMI-PR,"-23,76","-51,5",NOVO ITACOLOMI,PR
NOVO JARDIM-TO,"-11,82","-46,62",NOVO JARDIM,TO
NOVO LINO-AL,"-8,91","-35,64",NOVO LINO,AL
NOVO MACHADO-RS,"-27,57","-54,5",NOVO MACHADO,RS
NOVO MUNDO-MT,"-9,95","-55,19",NOVO MUNDO,MT
NOVO ORIENTE DE MINAS-MG,"-17,41","-41,21",NOVO ORIENTE DE MINAS,MG
NOVO ORIENTE DO PIAUI-PI,"-6,44","-41,93",NOVO ORIENTE DO PIAUI,PI
NOVO ORIENTE-CE,"-5,53","-40,77",NOVO ORIENTE,CE
NOVO PLANALTO-GO,"-13,24","-49,5",NOVO PLANALTO,GO
NOVO PROGRESSO-PA,"-7,14","-55,38",NOVO PROGRESSO,PA
NOVO REPARTIMENTO-PA,"-4,33","-49,79",NOVO REPARTIMENTO,PA
NOVO SANTO ANTONIO-PI,"-5,28","-41,93",NOVO SANTO ANTONIO,PI
NOVO SAO JOAQUIM-MT,"-14,9","-53,01",NOVO SAO JOAQUIM,MT
